ANÁLISIS COMPLETO DE RAÍCES DIGITALES - PRIMOS DE SOPHIE GERMAIN
Límite de búsqueda: 10000000
Total de primos encontrados: 56032
Fecha de análisis: 2025-07-30T12:26:03.856
================================================================================

TABLA COMPLETA DE RESULTADOS
----------------------------------------
p	2p+1	raíz(p)	raíz(2p+1)
20963	41927	2	5
21011	42023	5	2
21089	42179	2	5
21149	42299	8	8
21179	42359	2	5
21221	42443	8	8
21341	42683	2	5
21383	42767	8	8
21419	42839	8	8
21611	43223	2	5
21701	43403	2	5
21713	43427	5	2
21803	43607	5	2
21893	43787	5	2
22013	44027	8	8
22079	44159	2	5
22133	44267	2	5
22259	44519	2	5
22271	44543	5	2
22343	44687	5	2
22349	44699	2	5
22409	44819	8	8
22433	44867	5	2
22469	44939	5	2
22481	44963	8	8
22541	45083	5	2
22751	45503	8	8
22853	45707	2	5
22943	45887	2	5
23099	46199	5	2
23279	46559	5	2
23321	46643	2	5
23339	46679	2	5
23459	46919	5	2
23561	47123	8	8
23603	47207	5	2
23669	47339	8	8
23753	47507	2	5
23819	47639	5	2
23909	47819	5	2
23981	47963	5	2
24203	48407	2	5
24239	48479	2	5
24281	48563	8	8
24473	48947	2	5
24509	49019	2	5
24551	49103	8	8
24611	49223	5	2
24683	49367	5	2
24749	49499	8	8
24971	49943	5	2
25073	50147	8	8
25229	50459	2	5
25523	51047	8	8
25601	51203	5	2
25643	51287	2	5
25673	51347	5	2
25703	51407	8	8
25799	51599	5	2
25841	51683	2	5
25913	51827	2	5
25919	51839	8	8
26111	52223	2	5
26189	52379	8	8
26459	52919	8	8
26501	53003	5	2
26573	53147	5	2
26633	53267	2	5
26849	53699	2	5
26879	53759	5	2
26891	53783	8	8
26993	53987	2	5
27143	54287	8	8
27281	54563	2	5
27479	54959	2	5
27539	55079	8	8
27551	55103	2	5
27581	55163	5	2
27743	55487	5	2
27773	55547	8	8
27809	55619	8	8
27893	55787	2	5
27983	55967	2	5
28001	56003	2	5
28019	56039	2	5
28403	56807	8	8
28499	56999	5	2
28559	57119	2	5
28571	57143	5	2
28643	57287	5	2
28751	57503	5	2
28793	57587	2	5
28859	57719	5	2
28901	57803	2	5
28949	57899	5	2
28961	57923	8	8
29021	58043	5	2
29033	58067	8	8
29201	58403	5	2
29339	58679	8	8
29363	58727	5	2
29453	58907	5	2
29483	58967	8	8
29531	59063	2	5
29723	59447	5	2
29873	59747	2	5
30269	60539	2	5
30323	60647	2	5
30389	60779	5	2
30449	60899	2	5
30671	61343	8	8
30689	61379	8	8
30773	61547	2	5
30851	61703	8	8
30983	61967	5	2
31019	62039	5	2
31151	62303	2	5
31253	62507	5	2
31319	62639	8	8
31469	62939	5	2
31649	63299	5	2
31721	63443	5	2
31793	63587	5	2
31799	63599	2	5
31859	63719	8	8
32003	64007	8	8
32009	64019	5	2
32141	64283	2	5
32159	64319	2	5
32381	64763	8	8
32531	65063	5	2
32561	65123	8	8
32573	65147	2	5
32633	65267	8	8
32771	65543	2	5
32789	65579	2	5
32843	65687	2	5
32933	65867	2	5
33023	66047	2	5
33053	66107	5	2
33119	66239	8	8
33179	66359	5	2
33191	66383	8	8
33461	66923	8	8
33479	66959	8	8
33521	67043	5	2
33569	67139	8	8
33623	67247	8	8
33713	67427	8	8
33749	67499	8	8
33773	67547	5	2
33809	67619	5	2
33941	67883	2	5
34253	68507	8	8
34283	68567	2	5
34319	68639	2	5
34439	68879	5	2
34631	69263	8	8
34883	69767	8	8
34913	69827	2	5
34949	69899	2	5
35069	70139	5	2
35081	70163	8	8
35099	70199	8	8
35111	70223	2	5
35291	70583	2	5
35573	71147	5	2
35831	71663	2	5
35933	71867	5	2
35993	71987	2	5
35999	71999	8	8
36083	72167	2	5
36191	72383	2	5
36251	72503	8	8
36353	72707	2	5
36383	72767	5	2
36479	72959	2	5
36563	73127	5	2
36629	73259	8	8
36761	73523	5	2
36791	73583	8	8
36821	73643	2	5
36923	73847	5	2
36929	73859	2	5
37013	74027	5	2
37049	74099	5	2
37139	74279	5	2
37181	74363	2	5
37253	74507	2	5
37379	74759	2	5
37619	75239	8	8
37853	75707	8	8
37871	75743	8	8
37991	75983	2	5
38039	76079	5	2
38183	76367	5	2
38189	76379	2	5
38201	76403	5	2
38231	76463	8	8
38303	76607	8	8
38333	76667	2	5
38453	76907	5	2
38459	76919	2	5
38501	77003	8	8
38639	77279	2	5
38669	77339	5	2
38723	77447	5	2
38861	77723	8	8
38873	77747	2	5
38891	77783	2	5
38933	77867	8	8
39089	78179	2	5
39233	78467	2	5
39239	78479	8	8
39419	78839	8	8
39443	78887	5	2
39521	79043	2	5
39551	79103	5	2
39569	79139	5	2
39659	79319	5	2
39779	79559	8	8
39953	79907	2	5
39971	79943	2	5
39983	79967	5	2
39989	79979	2	5
40193	80387	8	8
40283	80567	8	8
40343	80687	5	2
40559	81119	5	2
40763	81527	2	5
40823	81647	8	8
40853	81707	2	5
40949	81899	8	8
41081	82163	5	2
41231	82463	2	5
41243	82487	5	2
41381	82763	8	8
41399	82799	8	8
41603	83207	5	2
41609	83219	2	5
41621	83243	5	2
41669	83339	8	8
41729	83459	5	2
41969	83939	2	5
42023	84047	2	5
42071	84143	5	2
42089	84179	5	2
42131	84263	2	5
42221	84443	2	5
42359	84719	5	2
42473	84947	2	5
42611	85223	5	2
42719	85439	5	2
42743	85487	2	5
42821	85643	8	8
42923	85847	2	5
43013	86027	2	5
43313	86627	5	2
43391	86783	2	5
43541	87083	8	8
43649	87299	8	8
43661	87323	2	5
43691	87383	5	2
43721	87443	8	8
43793	87587	8	8
43943	87887	5	2
44111	88223	2	5
44129	88259	2	5
44189	88379	8	8
44249	88499	5	2
44273	88547	2	5
44501	89003	5	2
44543	89087	2	5
44651	89303	2	5
44699	89399	5	2
44729	89459	8	8
44879	89759	5	2
44909	89819	8	8
45053	90107	8	8
45119	90239	2	5
45131	90263	5	2
45179	90359	8	8
45263	90527	2	5
45329	90659	5	2
45569	91139	2	5
45599	91199	5	2
45641	91283	2	5
45971	91943	8	8
46181	92363	2	5
46199	92399	2	5
46229	92459	5	2
46349	92699	8	8
46523	93047	2	5
46589	93179	5	2
46619	93239	8	8
46643	93287	5	2
46691	93383	8	8
46703	93407	2	5
46751	93503	5	2
47189	94379	2	5
47279	94559	2	5
47363	94727	5	2
47501	95003	8	8
47513	95027	2	5
47543	95087	5	2
47609	95219	8	8
47639	95279	2	5
47741	95483	5	2
48029	96059	5	2
48131	96263	8	8
48221	96443	8	8
48239	96479	8	8
48413	96827	2	5
48479	96959	5	2
48563	97127	8	8
48593	97187	2	5
48731	97463	5	2
48761	97523	8	8
49103	98207	8	8
49193	98387	8	8
49253	98507	5	2
49331	98663	2	5
49433	98867	5	2
49463	98927	8	8
49481	98963	8	8
49499	98999	8	8
49559	99119	5	2
49811	99623	5	2
49853	99707	2	5
49919	99839	5	2
50021	100043	8	8
50051	100103	2	5
50261	100523	5	2
50273	100547	8	8
50411	100823	2	5
50423	100847	5	2
50513	101027	5	2
50591	101183	2	5
50741	101483	8	8
50873	101747	5	2
50969	101939	2	5
50993	101987	8	8
51203	102407	2	5
51503	103007	5	2
51521	103043	5	2
51539	103079	5	2
51659	103319	8	8
51893	103787	8	8
52103	104207	2	5
52121	104243	2	5
52163	104327	8	8
52289	104579	8	8
52361	104723	8	8
52379	104759	8	8
52511	105023	5	2
52553	105107	2	5
52571	105143	2	5
52583	105167	5	2
52631	105263	8	8
52733	105467	2	5
52883	105767	8	8
53051	106103	5	2
53093	106187	2	5
53309	106619	2	5
53411	106823	5	2
53453	106907	2	5
53549	107099	8	8
53591	107183	5	2
53639	107279	8	8
53849	107699	2	5
53951	107903	5	2
54011	108023	2	5
54101	108203	2	5
54251	108503	8	8
54293	108587	5	2
54401	108803	5	2
54413	108827	8	8
54443	108887	2	5
54773	109547	8	8
54941	109883	5	2
54959	109919	5	2
55229	110459	5	2
55439	110879	8	8
55469	110939	2	5
55631	111263	2	5
55661	111323	5	2
55673	111347	8	8
55721	111443	2	5
55733	111467	5	2
55799	111599	8	8
55829	111659	2	5
55889	111779	8	8
55931	111863	5	2
56009	112019	2	5
56081	112163	2	5
56099	112199	2	5
56123	112247	8	8
56393	112787	8	8
56489	112979	5	2
56519	113039	8	8
56531	113063	2	5
56663	113327	8	8
56681	113363	8	8
56783	113567	2	5
56891	113783	2	5
56909	113819	2	5
56921	113843	5	2
56951	113903	8	8
57041	114083	8	8
57149	114299	8	8
57203	114407	8	8
57329	114659	8	8
57413	114827	2	5
57773	115547	2	5
57839	115679	5	2
57881	115763	2	5
58013	116027	8	8
58049	116099	8	8
58193	116387	8	8
58211	116423	8	8
58451	116903	5	2
58511	117023	2	5
58601	117203	2	5
58889	117779	2	5
58979	117959	2	5
59021	118043	8	8
59063	118127	5	2
59123	118247	2	5
59369	118739	5	2
59393	118787	2	5
59399	118799	8	8
59453	118907	8	8
59513	119027	5	2
59621	119243	5	2
59723	119447	8	8
59879	119759	2	5
59981	119963	5	2
60083	120167	8	8
60149	120299	2	5
60251	120503	5	2
60293	120587	2	5
60383	120767	2	5
60449	120899	5	2
60509	121019	2	5
60689	121379	2	5
60719	121439	5	2
60761	121523	2	5
60773	121547	5	2
60779	121559	2	5
61331	122663	5	2
61409	122819	2	5
61469	122939	8	8
61703	123407	8	8
61751	123503	2	5
61961	123923	5	2
61991	123983	8	8
62099	124199	8	8
62171	124343	8	8
62213	124427	5	2
62351	124703	8	8
62423	124847	8	8
62459	124919	8	8
62501	125003	5	2
62591	125183	5	2
62603	125207	8	8
62753	125507	5	2
62819	125639	8	8
62981	125963	8	8
63113	126227	5	2
63179	126359	8	8
63419	126839	5	2
63671	127343	5	2
63743	127487	5	2
63803	127607	2	5
63839	127679	2	5
63863	127727	8	8
63929	127859	2	5
64301	128603	5	2
64373	128747	5	2
64439	128879	8	8
64451	128903	2	5
64709	129419	8	8
64763	129527	8	8
64793	129587	2	5
64853	129707	8	8
64901	129803	2	5
65063	130127	2	5
65099	130199	2	5
65111	130223	5	2
65129	130259	5	2
65171	130343	2	5
65183	130367	5	2
65309	130619	5	2
65393	130787	8	8
65633	131267	5	2
65651	131303	5	2
65843	131687	8	8
65963	131927	2	5
66029	132059	5	2
66173	132347	5	2
66191	132383	5	2
66431	132863	2	5
66593	133187	2	5
66701	133403	2	5
66749	133499	5	2
66791	133583	2	5
66959	133919	8	8
67043	134087	2	5
67103	134207	8	8
67121	134243	8	8
67169	134339	2	5
67181	134363	5	2
67349	134699	2	5
67433	134867	5	2
67499	134999	8	8
67559	135119	5	2
67733	135467	8	8
67943	135887	2	5
68111	136223	8	8
68171	136343	5	2
68261	136523	5	2
68279	136559	5	2
68489	136979	8	8
68543	137087	8	8
68639	137279	5	2
68669	137339	8	8
68699	137399	2	5
68819	137639	5	2
68963	137927	5	2
69029	138059	8	8
69119	138239	8	8
69203	138407	2	5
69341	138683	5	2
69431	138863	5	2
69539	139079	5	2
69593	139187	5	2
69809	139619	5	2
69941	139883	2	5
70061	140123	5	2
70079	140159	5	2
70181	140363	8	8
70313	140627	5	2
70379	140759	8	8
70589	141179	2	5
70769	141539	2	5
70793	141587	8	8
70853	141707	5	2
70901	141803	8	8
70979	141959	5	2
71399	142799	2	5
71453	142907	2	5
71693	143387	8	8
71741	143483	2	5
71843	143687	5	2
71849	143699	2	5
71999	143999	8	8
72101	144203	2	5
72161	144323	8	8
72269	144539	8	8
72503	145007	8	8
72911	145823	2	5
73259	146519	8	8
73421	146843	8	8
73523	147047	2	5
73553	147107	5	2
73589	147179	5	2
73613	147227	2	5
73673	147347	8	8
73709	147419	8	8
73751	147503	5	2
73823	147647	5	2
74099	148199	2	5
74201	148403	5	2
74219	148439	5	2
74363	148727	5	2
74381	148763	5	2
74699	149399	8	8
74729	149459	2	5
74759	149519	5	2
74771	149543	8	8
74933	149867	8	8
75041	150083	8	8
75149	150299	8	8
75161	150323	2	5
75329	150659	8	8
75353	150707	5	2
75389	150779	5	2
75479	150959	5	2
75503	151007	2	5
75689	151379	8	8
75821	151643	5	2
75833	151667	8	8
75941	151883	8	8
75983	151967	5	2
76001	152003	5	2
76031	152063	8	8
76091	152183	5	2
76259	152519	2	5
76283	152567	8	8
76421	152843	2	5
76679	153359	8	8
76781	153563	2	5
76871	153743	2	5
76943	153887	2	5
77243	154487	5	2
77261	154523	5	2
77471	154943	8	8
77513	155027	5	2
77543	155087	8	8
77699	155399	2	5
77711	155423	5	2
77813	155627	8	8
77849	155699	8	8
78059	156119	2	5
78173	156347	8	8
78233	156467	5	2
78311	156623	2	5
78341	156683	5	2
78509	157019	2	5
78623	157247	8	8
78653	157307	2	5
78713	157427	8	8
78779	157559	2	5
78839	157679	8	8
79151	158303	5	2
79181	158363	8	8
79259	158519	5	2
79283	158567	2	5
79349	158699	5	2
79379	158759	8	8
79433	158867	8	8
79559	159119	8	8
79589	159179	2	5
79613	159227	8	8
79769	159539	2	5
79811	159623	8	8
79841	159683	2	5
79889	159779	5	2
80039	160079	2	5
80309	160619	2	5
80369	160739	8	8
80651	161303	2	5
80669	161339	2	5
80681	161363	5	2
80819	161639	8	8
81071	162143	8	8
81131	162263	5	2
81281	162563	2	5
81509	163019	5	2
81563	163127	5	2
81611	163223	8	8
81629	163259	8	8
81701	163403	8	8
81839	163679	2	5
81929	163859	2	5
82073	164147	2	5
82139	164279	5	2
82193	164387	5	2
82223	164447	8	8
82493	164987	8	8
82499	164999	5	2
82529	165059	8	8
82601	165203	8	8
82721	165443	2	5
82763	165527	8	8
82793	165587	2	5
82889	165779	8	8
83243	166487	2	5
83339	166679	8	8
83399	166799	5	2
83423	166847	2	5
83459	166919	2	5
83579	167159	5	2
83813	167627	5	2
83873	167747	2	5
83939	167879	5	2
84011	168023	5	2
84131	168263	8	8
84263	168527	5	2
84299	168599	5	2
84401	168803	8	8
84431	168863	2	5
84443	168887	5	2
84449	168899	2	5
84503	169007	2	5
84509	169019	8	8
84533	169067	5	2
84629	169259	2	5
84653	169307	8	8
84659	169319	5	2
84713	169427	5	2
84761	169523	8	8
85049	170099	8	8
85061	170123	2	5
85103	170207	8	8
85121	170243	8	8
85133	170267	2	5
85223	170447	2	5
85313	170627	2	5
85523	171047	5	2
85601	171203	2	5
85691	171383	2	5
85733	171467	8	8
85829	171659	5	2
85853	171707	2	5
85931	171863	8	8
86111	172223	8	8
86171	172343	5	2
86291	172583	8	8
86441	172883	5	2
86771	173543	2	5
86843	173687	2	5
87071	174143	5	2
87149	174299	2	5
87221	174443	2	5
87299	174599	8	8
87383	174767	2	5
87539	175079	5	2
87701	175403	5	2
87959	175919	2	5
88079	176159	5	2
88463	176927	2	5
88661	177323	2	5
88811	177623	8	8
88919	177839	8	8
89051	178103	5	2
89123	178247	5	2
89153	178307	8	8
89399	178799	2	5
89759	179519	2	5
89909	179819	8	8
90011	180023	2	5
90089	180179	8	8
90173	180347	2	5
90281	180563	2	5
90599	181199	5	2
90641	181283	2	5
90749	181499	2	5
90803	181607	2	5
90833	181667	5	2
90971	181943	8	8
91079	182159	8	8
91121	182243	5	2
91139	182279	5	2
91193	182387	5	2
91373	182747	5	2
91433	182867	2	5
91463	182927	5	2
91499	182999	5	2
91529	183059	8	8
91583	183167	8	8
91631	183263	2	5
91691	183383	8	8
91841	183683	5	2
92003	184007	5	2
92243	184487	2	5
92363	184727	5	2
92681	185363	8	8
92849	185699	5	2
92861	185723	8	8
92951	185903	8	8
92993	185987	5	2
93053	186107	2	5
93059	186119	8	8
93113	186227	8	8
93239	186479	8	8
93323	186647	2	5
93371	186743	5	2
93479	186959	5	2
93563	187127	8	8
93581	187163	8	8
93683	187367	2	5
93893	187787	5	2
93911	187823	5	2
93941	187883	8	8
94079	188159	2	5
94151	188303	2	5
94229	188459	8	8
94343	188687	5	2
94421	188843	2	5
94463	188927	8	8
95261	190523	5	2
95393	190787	2	5
95549	191099	5	2
95561	191123	8	8
95723	191447	8	8
95789	191579	2	5
95813	191627	8	8
95873	191747	5	2
95891	191783	5	2
96269	192539	5	2
96293	192587	2	5
96443	192887	8	8
96461	192923	8	8
96581	193163	2	5
96731	193463	8	8
96779	193559	2	5
96851	193703	2	5
96989	193979	5	2
97001	194003	8	8
97241	194483	5	2
97511	195023	5	2
97523	195047	8	8
97829	195659	8	8
97871	195743	5	2
97931	195863	2	5
97943	195887	5	2
98123	196247	5	2
98321	196643	5	2
98369	196739	8	8
98453	196907	2	5
98459	196919	8	8
98561	197123	2	5
98573	197147	5	2
98621	197243	8	8
98639	197279	8	8
98669	197339	2	5
98711	197423	8	8
98849	197699	2	5
98963	197927	8	8
98981	197963	8	8
99023	198047	5	2
99041	198083	5	2
99089	198179	8	8
99173	198347	2	5
99251	198503	8	8
99551	199103	2	5
99623	199247	2	5
99689	199379	5	2
99761	199523	5	2
99839	199679	2	5
100043	200087	8	8
100361	200723	2	5
100403	200807	8	8
100493	200987	8	8
100559	201119	2	5
100799	201599	8	8
100811	201623	2	5
100913	201827	5	2
101063	202127	2	5
101333	202667	2	5
101399	202799	5	2
101411	202823	8	8
101429	202859	8	8
101483	202967	8	8
101603	203207	2	5
101681	203363	8	8
101693	203387	2	5
101789	203579	8	8
101921	203843	5	2
101999	203999	2	5
102023	204047	8	8
102071	204143	2	5
102149	204299	8	8
102293	204587	8	8
102299	204599	5	2
102359	204719	2	5
102461	204923	5	2
102551	205103	5	2
102593	205187	2	5
102611	205223	2	5
102653	205307	8	8
102881	205763	2	5
102911	205823	5	2
102983	205967	5	2
103091	206183	5	2
103319	206639	8	8
103349	206699	2	5
103391	206783	8	8
103409	206819	8	8
103613	207227	5	2
103619	207239	2	5
103643	207287	8	8
104033	208067	2	5
104183	208367	8	8
104231	208463	2	5
104369	208739	5	2
104393	208787	2	5
104399	208799	8	8
104561	209123	8	8
104579	209159	8	8
104729	209459	5	2
104759	209519	8	8
104789	209579	2	5
105071	210143	5	2
105173	210347	8	8
105263	210527	8	8
105359	210719	5	2
105401	210803	2	5
105503	211007	5	2
105533	211067	8	8
105701	211403	5	2
105863	211727	5	2
105929	211859	8	8
105971	211943	5	2
106019	212039	8	8
106103	212207	2	5
106121	212243	2	5
106433	212867	8	8
106451	212903	8	8
106703	213407	8	8
107021	214043	2	5
107279	214559	8	8
107441	214883	8	8
107699	215399	5	2
107741	215483	2	5
107843	215687	5	2
108011	216023	2	5
108089	216179	8	8
108131	216263	5	2
108359	216719	8	8
108401	216803	5	2
108821	217643	2	5
108863	217727	8	8
108869	217739	5	2
108929	217859	2	5
109001	218003	2	5
109139	218279	5	2
109211	218423	5	2
109229	218459	5	2
109313	218627	8	8
109391	218783	5	2
109481	218963	5	2
109541	219083	2	5
109751	219503	5	2
109793	219587	2	5
109841	219683	5	2
109883	219767	2	5
109919	219839	2	5
110459	220919	2	5
110543	221087	5	2
110609	221219	8	8
110651	221303	5	2
111029	222059	5	2
111053	222107	2	5
111263	222527	5	2
111323	222647	2	5
111431	222863	2	5
111509	223019	8	8
111623	223247	5	2
111641	223283	5	2
111659	223319	5	2
111731	223463	5	2
111773	223547	2	5
111833	223667	8	8
111959	223919	8	8
112163	224327	5	2
112181	224363	5	2
112289	224579	5	2
112349	224699	2	5
112559	225119	5	2
112571	225143	8	8
112583	225167	2	5
112643	225287	8	8
112691	225383	2	5
112919	225839	5	2
113051	226103	2	5
113153	226307	5	2
113189	226379	5	2
113213	226427	2	5
113453	226907	8	8
113513	227027	5	2
113759	227519	8	8
113783	227567	5	2
114221	228443	2	5
114269	228539	5	2
114479	228959	8	8
114599	229199	2	5
114641	229283	8	8
114671	229343	2	5
114743	229487	2	5
114749	229499	8	8
114773	229547	5	2
115001	230003	8	8
115061	230123	5	2
115151	230303	5	2
115163	230327	8	8
115331	230663	5	2
115469	230939	8	8
115499	230999	2	5
115553	231107	2	5
115679	231359	2	5
115751	231503	2	5
115781	231563	5	2
115859	231719	2	5
116243	232487	8	8
116411	232823	5	2
116423	232847	8	8
116579	233159	2	5
116639	233279	8	8
116663	233327	5	2
116969	233939	5	2
117041	234083	5	2
117101	234203	2	5
117119	234239	2	5
117191	234383	2	5
117269	234539	8	8
117329	234659	5	2
117371	234743	2	5
117431	234863	8	8
117503	235007	8	8
117779	235559	5	2
117839	235679	2	5
117959	235919	5	2
117989	235979	8	8
118043	236087	8	8
118169	236339	8	8
118253	236507	2	5
118259	236519	8	8
118361	236723	2	5
118571	237143	5	2
118589	237179	5	2
119039	238079	5	2
119363	238727	5	2
119429	238859	8	8
119513	239027	2	5
119771	239543	8	8
119783	239567	2	5
119849	239699	5	2
119891	239783	2	5
119921	239843	5	2
119981	239963	2	5
120293	240587	8	8
120299	240599	5	2
120371	240743	5	2
120539	241079	2	5
120563	241127	8	8
120671	241343	8	8
120779	241559	8	8
120833	241667	8	8
120863	241727	2	5
120941	241883	8	8
121139	242279	8	8
